session_date,open_time,close_time,session_type
2025-09-01,09:00,16:00,RTH
2025-09-02,09:00,16:00,RTH
2025-09-03,09:00,16:00,RTH
2025-09-04,09:00,16:00,RTH
2025-09-05,09:00,16:00,RTH
2025-09-08,09:00,16:00,RTH
2025-09-09,09:00,16:00,RTH
2025-09-10,09:00,16:00,RTH
2025-09-11,09:00,16:00,RTH
2025-09-12,09:00,16:00,RTH
2025-09-15,09:00,16:00,RTH
2025-09-16,09:00,16:00,RTH
2025-09-17,09:00,16:00,RTH
2025-09-18,09:00,16:00,RTH
2025-09-19,09:00,16:00,RTH
2025-09-22,09:00,16:00,RTH
2025-09-23,09:00,16:00,RTH
2025-09-24,09:00,16:00,RTH
2025-09-25,09:00,16:00,RTH
2025-09-26,09:00,16:00,RTH
2025-09-29,09:00,16:00,RTH
2025-09-30,09:00,16:00,RTH
