session_date,open_time,close_time,session_type
2025-09-01,08:00,16:00,RTH
2025-09-02,08:00,16:00,RTH
2025-09-03,08:00,16:00,RTH
2025-09-04,08:00,16:00,RTH
2025-09-05,08:00,16:00,RTH
2025-09-08,08:00,16:00,RTH
2025-09-09,08:00,16:00,RTH
2025-09-10,08:00,16:00,RTH
2025-09-11,08:00,16:00,RTH
2025-09-12,08:00,16:00,RTH
2025-09-15,08:00,16:00,RTH
2025-09-16,08:00,16:00,RTH
2025-09-17,08:00,16:00,RTH
2025-09-18,08:00,16:00,RTH
2025-09-19,08:00,16:00,RTH
2025-09-22,08:00,16:00,RTH
2025-09-23,08:00,16:00,RTH
2025-09-24,08:00,16:00,RTH
2025-09-25,08:00,16:00,RTH
2025-09-26,08:00,16:00,RTH
2025-09-29,08:00,16:00,RTH
2025-09-30,08:00,16:00,RTH
2025-10-01,08:00,16:00,RTH
2025-10-02,08:00,16:00,RTH
2025-10-03,08:00,16:00,RTH
2025-10-06,08:00,16:00,RTH
2025-10-07,08:00,16:00,RTH
2025-10-08,08:00,16:00,RTH
2025-10-09,08:00,16:00,RTH
2025-10-10,08:00,16:00,RTH
2025-10-11,08:00,16:00,RTH
2025-10-14,08:00,16:00,RTH
2025-10-15,08:00,16:00,RTH
2025-10-16,08:00,16:00,RTH
2025-10-17,08:00,16:00,RTH
2025-10-20,08:00,16:00,RTH
2025-10-21,08:00,16:00,RTH
2025-10-22,08:00,16:00,RTH
2025-10-23,08:00,16:00,RTH
