session_date,open_time,close_time,session_type
2025-08-01,09:00,16:00,RTH
2025-08-04,09:00,16:00,RTH
2025-08-05,09:00,16:00,RTH
2025-08-06,09:00,16:00,RTH
2025-08-07,09:00,16:00,RTH
2025-08-08,09:00,16:00,RTH
2025-08-11,09:00,16:00,RTH
2025-08-12,09:00,16:00,RTH
2025-08-13,09:00,16:00,RTH
2025-08-14,09:00,16:00,RTH
2025-08-15,09:00,16:00,RTH
2025-08-18,09:00,16:00,RTH
2025-08-19,09:00,16:00,RTH
2025-08-20,09:00,16:00,RTH
2025-08-21,09:00,16:00,RTH
2025-08-22,09:00,16:00,RTH
2025-08-25,09:00,16:00,RTH
2025-08-26,09:00,16:00,RTH
2025-08-27,09:00,16:00,RTH
2025-08-28,09:00,16:00,RTH
2025-08-29,09:00,16:00,RTH
2025-09-01,09:00,16:00,RTH
2025-09-02,09:00,16:00,RTH
2025-09-03,09:00,16:00,RTH
2025-09-04,09:00,16:00,RTH
2025-09-05,09:00,16:00,RTH
2025-09-08,09:00,16:00,RTH
2025-09-09,09:00,16:00,RTH
2025-09-10,09:00,16:00,RTH
2025-09-11,09:00,16:00,RTH
2025-09-12,09:00,16:00,RTH
2025-09-15,09:00,16:00,RTH
2025-09-16,09:00,16:00,RTH
2025-09-17,09:00,16:00,RTH
2025-09-18,09:00,16:00,RTH
2025-09-19,09:00,16:00,RTH
2025-09-22,09:00,16:00,RTH
2025-09-23,09:00,16:00,RTH
2025-09-24,09:00,16:00,RTH
2025-09-25,09:00,16:00,RTH
2025-09-26,09:00,16:00,RTH
2025-09-29,09:00,16:00,RTH
2025-09-30,09:00,16:00,RTH
2025-10-01,09:00,16:00,RTH
2025-10-02,09:00,16:00,RTH
2025-10-03,09:00,16:00,RTH
2025-10-06,09:00,16:00,RTH
2025-10-07,09:00,16:00,RTH
2025-10-08,09:00,16:00,RTH
2025-10-09,09:00,16:00,RTH
2025-10-10,09:00,16:00,RTH
2025-10-13,09:00,16:00,RTH
2025-10-14,09:00,16:00,RTH
2025-10-15,09:00,16:00,RTH
2025-10-16,09:00,16:00,RTH
2025-10-17,09:00,16:00,RTH
2025-10-20,09:00,16:00,RTH
2025-10-21,09:00,16:00,RTH
2025-10-22,09:00,16:00,RTH
2025-10-23,09:00,16:00,RTH









