symbol,market_cap_usd,updated_at
NVDA,1250000000000,2025-10-18T00:00:00Z
MSFT,2400000000000,2025-10-18T00:00:00Z
AAPL,2300000000000,2025-10-18T00:00:00Z
GOOGL,1700000000000,2025-10-18T00:00:00Z
AMZN,1650000000000,2025-10-18T00:00:00Z
META,1050000000000,2025-10-18T00:00:00Z
TSLA,850000000000,2025-10-18T00:00:00Z
AVGO,680000000000,2025-10-18T00:00:00Z
TSM,600000000000,2025-10-18T00:00:00Z
ORCL,350000000000,2025-10-18T00:00:00Z
NFLX,260000000000,2025-10-18T00:00:00Z
PLTR,90000000000,2025-10-18T00:00:00Z
ASML,320000000000,2025-10-18T00:00:00Z
CSCO,190000000000,2025-10-18T00:00:00Z
AMD,210000000000,2025-10-18T00:00:00Z
CRM,220000000000,2025-10-18T00:00:00Z
UBER,130000000000,2025-10-18T00:00:00Z
SHOP,90000000000,2025-10-18T00:00:00Z
NOW,140000000000,2025-10-18T00:00:00Z
INTU,160000000000,2025-10-18T00:00:00Z
